Timestamp,Latitude,Longitude,Velocity,Altitude
2024-12-09T18:48:22.383Z,29.212420373775384,-81.02033530628577,59,85
2024-12-09T18:48:22.583Z,29.211462684496176,-81.02191699766328,87,424
2024-12-09T18:48:22.793Z,29.207958227085797,-81.01831112892455,82,209
2024-12-09T18:48:23.007Z,29.212036106231555,-81.01889275586817,72,134
2024-12-09T18:48:23.221Z,29.212031268995393,-81.02490798688052,42,167
2024-12-09T18:48:23.435Z,29.206745255868466,-81.02440336022748,47,299
2024-12-09T18:48:23.650Z,29.21016567003887,-81.02124644636945,44,303
2024-12-09T18:48:23.863Z,29.213041248173006,-81.02169160440597,0,373
2024-12-09T18:48:24.074Z,29.213390624576398,-81.02488345642101,26,29
2024-12-09T18:48:24.285Z,29.206814492806185,-81.02478999854425,47,495
2024-12-09T18:48:24.499Z,29.20878212016823,-81.02742343381817,95,23
2024-12-09T18:48:24.711Z,29.21169396515228,-81.02411768984335,34,105
2024-12-09T18:48:24.923Z,29.21352775239233,-81.01865335735484,64,165
2024-12-09T18:48:25.135Z,29.21559229087096,-81.02739071335891,81,355
2024-12-09T18:48:25.347Z,29.21181204502721,-81.02703606861664,66,384
2024-12-09T18:48:25.559Z,29.205990439613934,-81.02235882051909,46,306
2024-12-09T18:48:25.772Z,29.212569108295344,-81.02134587398483,8,444
2024-12-09T18:48:25.983Z,29.206672732161206,-81.01977665084492,57,100
2024-12-09T18:48:26.194Z,29.208337042844782,-81.02163593463962,63,440
2024-12-09T18:48:26.407Z,29.214503741467308,-81.02114385698803,70,327
2024-12-09T18:48:26.619Z,29.209859513051914,-81.02154094575518,71,228
2024-12-09T18:48:26.832Z,29.208670876143746,-81.01918063699155,19,163
2024-12-09T18:48:27.045Z,29.20747273425767,-81.0227414314573,25,40
2024-12-09T18:48:27.257Z,29.20675774915076,-81.02680811438573,5,468
2024-12-09T18:48:27.469Z,29.214265932772655,-81.0185453003822,37,276
2024-12-09T18:48:27.680Z,29.207528828770876,-81.01949811806479,57,177
2024-12-09T18:48:27.892Z,29.209229972568615,-81.02628903890037,50,209
2024-12-09T18:48:28.104Z,29.20717230956435,-81.01951723546128,68,82
2024-12-09T18:48:28.316Z,29.209153039891554,-81.02769323930713,19,343
2024-12-09T18:48:28.528Z,29.214499773759634,-81.01948324290031,4,173
2024-12-09T18:48:28.740Z,29.21345973505354,-81.01783899423428,40,286
2024-12-09T18:48:28.953Z,29.207105554796858,-81.02471322105237,56,14
2024-12-09T18:48:29.166Z,29.21031634677732,-81.02600231582953,2,344
2024-12-09T18:48:29.378Z,29.20978641435955,-81.02066029785178,57,369
2024-12-09T18:48:29.589Z,29.210265936763605,-81.01808569092645,21,321
2024-12-09T18:48:29.803Z,29.206926288727704,-81.02533508877721,57,483
2024-12-09T18:48:30.016Z,29.209687638944665,-81.0247477430222,7,63
2024-12-09T18:48:30.229Z,29.214557742447127,-81.02674649533694,93,21
2024-12-09T18:48:30.441Z,29.209038622636047,-81.02015307277922,66,491
2024-12-09T18:48:30.653Z,29.213123378122006,-81.01899333445363,33,385
2024-12-09T18:48:30.865Z,29.209145136269193,-81.02172572174173,99,209
2024-12-09T18:48:31.078Z,29.206705873087135,-81.02575251827673,15,434
2024-12-09T18:48:31.289Z,29.21165934798727,-81.02014745808414,20,256
2024-12-09T18:48:31.502Z,29.209045985281296,-81.01894809624247,19,467
2024-12-09T18:48:31.712Z,29.215797903166422,-81.02673649349018,40,364
2024-12-09T18:48:31.925Z,29.207205962533024,-81.01924572122894,92,118
2024-12-09T18:48:32.137Z,29.213161615106948,-81.01862471693666,96,85
2024-12-09T18:48:32.349Z,29.210980833646683,-81.01954427586207,40,238
2024-12-09T18:48:32.563Z,29.213698204755627,-81.02702644097577,25,350
2024-12-09T18:48:32.775Z,29.20841644315734,-81.02758343029006,24,287
2024-12-09T18:48:32.990Z,29.211931807692547,-81.02646454714976,68,256
2024-12-09T18:48:33.201Z,29.209853831342112,-81.02110202203583,53,206
